id,category,sub_category,lat,lon,geometry,cluster
81352243,education,school,28.5888439,77.1772031,POINT (28.5888439 77.1772031),2
81352249,education,school,28.5852266,77.1988157,POINT (28.5852266 77.1988157),2
89808694,education,school,28.534542600000005,77.2443191,POINT (28.53454260000001 77.2443191),2
89956563,education,school,28.5385361,77.2524043,POINT (28.5385361 77.25240429999999),2
134496049,education,school,28.589416399999998,77.0651338,POINT (28.5894164 77.0651338),2
138946150,education,school,28.6255515,77.21044599999999,POINT (28.6255515 77.21044599999999),2
149510412,education,school,28.5304645,77.2131775,POINT (28.5304645 77.2131775),2
150880987,education,school,28.6029627,77.0513025,POINT (28.6029627 77.05130250000001),2
150881520,education,school,28.6045108,77.049071,POINT (28.6045108 77.049071),2
150881783,education,school,28.6063417,77.0479297,POINT (28.6063417 77.0479297),2
150882113,education,school,28.600029600000003,77.04983100000001,POINT (28.6000296 77.04983100000001),2
151571787,education,school,28.6023148,77.0451685,POINT (28.6023148 77.0451685),2
151571822,education,school,28.6021548,77.04635350000001,POINT (28.6021548 77.04635350000001),2
151572542,education,school,28.6036649,77.0511704,POINT (28.6036649 77.0511704),2
153161690,education,school,28.532607000000002,77.2483559,POINT (28.532607 77.24835590000001),2
153161693,education,school,28.536299,77.24867890000002,POINT (28.536299 77.24867890000002),2
154160586,education,school,28.578188899999997,77.0717681,POINT (28.5781889 77.0717681),2
154326925,education,school,28.636446000000003,77.0772776,POINT (28.636446 77.0772776),2
154327264,education,school,28.6326916,77.0773578,POINT (28.6326916 77.0773578),2
154327524,education,school,28.632126899999996,77.07573599999999,POINT (28.6321269 77.07573599999999),2
154527302,education,school,28.633473300000002,77.18408740000001,POINT (28.6334733 77.18408740000001),2
154529687,education,school,28.6887325,77.13932870000001,POINT (28.6887325 77.13932870000001),2
154529893,education,school,28.6880827,77.1405966,POINT (28.6880827 77.14059659999999),2
156150419,education,school,28.5886195,77.06823220000001,POINT (28.5886195 77.06823220000001),2
158037035,education,school,28.6444011,77.196325,POINT (28.6444011 77.196325),2
158037036,education,school,28.644226399999997,77.1948873,POINT (28.6442264 77.1948873),2
158038114,education,school,28.6413087,77.1914283,POINT (28.6413087 77.1914283),2
166446965,education,school,28.528663899999998,77.24710490000001,POINT (28.5286639 77.24710490000001),2
167335641,education,school,28.6909667,77.1069374,POINT (28.6909667 77.10693740000001),2
167591466,education,school,28.675951300000005,77.085894,POINT (28.6759513 77.085894),2
167591469,education,school,28.674513800000003,77.0873849,POINT (28.6745138 77.0873849),2
167992745,education,school,28.607428600000002,76.98821290000001,POINT (28.6074286 76.98821290000001),2
169425979,education,school,28.6116342,76.9800709,POINT (28.6116342 76.9800709),2
169848648,education,school,28.548148699999995,76.8989142,POINT (28.5481487 76.89891419999999),2
170236063,education,school,28.602412100000006,76.93188740000001,POINT (28.60241210000001 76.93188740000001),2
171438689,education,school,28.7325752,77.09450109999999,POINT (28.7325752 77.09450109999999),2
171438693,education,school,28.7343904,77.0942056,POINT (28.7343904 77.0942056),2
171493120,education,school,28.702446899999998,77.12603359999999,POINT (28.7024469 77.12603359999999),2
171493124,education,school,28.703514799999997,77.1287865,POINT (28.7035148 77.1287865),2
171496276,education,school,28.702706899999995,77.10534229999999,POINT (28.7027069 77.10534229999999),2
171496279,education,school,28.6992501,77.106341,POINT (28.6992501 77.106341),2
171496282,education,school,28.703333100000002,77.10590340000002,POINT (28.7033331 77.10590340000002),2
171496283,education,school,28.7041586,77.10664090000002,POINT (28.7041586 77.10664090000002),2
171496289,education,school,28.6992826,77.100306,POINT (28.6992826 77.100306),2
171501204,education,school,28.695281,77.1158769,POINT (28.695281 77.1158769),2
171501206,education,school,28.693557000000002,77.1083083,POINT (28.693557 77.1083083),2
171501213,education,school,28.692498399999998,77.10850620000001,POINT (28.6924984 77.10850620000001),2
