id,category,sub_category,lat,lon
78164557,education,school,28.6836666,77.1845719
78164685,education,school,28.6916329,77.1803149
78175838,education,school,28.696978,77.1843593
78180074,education,school,28.7055986,77.157158
78180267,education,school,28.7056895,77.1599644
78187945,education,school,28.7067387,77.1647956
78445739,education,school,28.7098579,77.1570081
78445769,education,school,28.7082935,77.1566406
78445873,education,school,28.7092972,77.1586079
78449332,education,school,28.7106173,77.1534608
78449388,education,school,28.7109369,77.1561795
78474966,education,school,28.704902,77.1513408
78474972,education,school,28.701813,77.1521937
78477044,education,school,28.7003233,77.146565
78477050,education,school,28.7003346,77.1497749
78480645,education,school,28.6975216,77.1474712
78480652,education,school,28.6992395,77.1435737
78482694,education,school,28.7099449,77.1405321
78482763,education,school,28.7176046,77.1435971
78482807,education,school,28.7088523,77.1382209
78482823,education,school,28.7054743,77.1404594
78542394,education,school,28.7356216,77.1104005
78542417,education,school,28.7343661,77.1090878
78555801,education,school,28.7304814,77.1150091
78555972,education,school,28.7328474,77.111686
78563260,education,school,28.7292693,77.1239235
78580280,education,school,28.7378639,77.1223561
78580300,education,school,28.7347664,77.1243599
78595519,education,school,28.7140373,77.1352652
78595575,education,school,28.71027,77.1323717
78595581,education,school,28.7159019,77.1374446
78595605,education,school,28.7129618,77.1335523
78595621,education,school,28.7091949,77.1339191
78601351,education,school,28.7347501,77.1311096
78601444,education,school,28.729158,77.1310487
78601484,education,school,28.7330971,77.1293691
78601512,education,school,28.7298314,77.1290946
78755705,education,school,28.7153538,77.1785629
78755824,education,school,28.7209718,77.1726705
78786214,education,school,28.734001,77.1686575
78786253,education,school,28.7281681,77.1733444
78786325,education,school,28.7303714,77.1623943
78881660,education,school,28.727731,77.0883171
78881684,education,school,28.7284759,77.084197
78881686,education,school,28.721235,77.0826062
78881746,education,school,28.7225109,77.0807358
78881751,education,school,28.7262966,77.0870884
78881831,education,school,28.726071,77.085026
80418136,education,school,28.6434269,77.2269302
81352243,education,school,28.5888439,77.1772031
81352249,education,school,28.5852266,77.1988157
89808694,education,school,28.5345426,77.2443191
89956563,education,school,28.5385361,77.2524043
134496049,education,school,28.5894164,77.0651338
138946150,education,school,28.6255515,77.210446
149510412,education,school,28.5304645,77.2131775
150880987,education,school,28.6029627,77.0513025
150881520,education,school,28.6045108,77.049071
150881783,education,school,28.6063417,77.0479297
150882113,education,school,28.6000296,77.049831
151571787,education,school,28.6023148,77.0451685
151571822,education,school,28.6021548,77.0463535
151572542,education,school,28.6036649,77.0511704
153161690,education,school,28.532607,77.2483559
153161693,education,school,28.536299,77.2486789
154160586,education,school,28.5781889,77.0717681
154326925,education,school,28.636446,77.0772776
154327264,education,school,28.6326916,77.0773578
154327524,education,school,28.6321269,77.075736
154527302,education,school,28.6334733,77.1840874
154529687,education,school,28.6887325,77.1393287
154529893,education,school,28.6880827,77.1405966
156150419,education,school,28.5886195,77.0682322
158037035,education,school,28.6444011,77.196325
158037036,education,school,28.6442264,77.1948873
158038114,education,school,28.6413087,77.1914283
166446965,education,school,28.5286639,77.2471049
167335641,education,school,28.6909667,77.1069374
167591466,education,school,28.6759513,77.085894
167591469,education,school,28.6745138,77.0873849
167992745,education,school,28.6074286,76.9882129
169425979,education,school,28.6116342,76.9800709
169848648,education,school,28.5481487,76.8989142
170236063,education,school,28.6024121,76.9318874
171438689,education,school,28.7325752,77.0945011
171438693,education,school,28.7343904,77.0942056
171493120,education,school,28.7024469,77.1260336
171493124,education,school,28.7035148,77.1287865
171496276,education,school,28.7027069,77.1053423
171496279,education,school,28.6992501,77.106341
171496282,education,school,28.7033331,77.1059034
171496283,education,school,28.7041586,77.1066409
171496289,education,school,28.6992826,77.100306
171501204,education,school,28.695281,77.1158769
171501206,education,school,28.693557,77.1083083
171501213,education,school,28.6924984,77.1085062
171510619,education,school,28.7056266,77.1187203
171510626,education,school,28.7103211,77.1119556
171510634,education,school,28.7066755,77.1133061
171514881,education,school,28.6970637,77.0960889
171514883,education,school,28.6981144,77.0961334
171527942,education,school,28.6905681,77.0813892
171545989,education,school,28.6960447,77.1236859
171545992,education,school,28.694817,77.1221192
171545997,education,school,28.697564,77.1285996
171598616,education,school,28.6938997,77.1425318
171603491,education,school,28.6888849,77.1470141
171613283,education,school,28.6881303,77.1261735
171613287,education,school,28.6895558,77.1212526
171613296,education,school,28.6928498,77.122478
171613297,education,school,28.6819235,77.1361933
171613299,education,school,28.6801356,77.1404541
171613306,education,school,28.6866127,77.1316783
171613313,education,school,28.6810554,77.1414886
171616390,education,school,28.6905259,77.0835833
171616394,education,school,28.690496,77.0853536
171616398,education,school,28.6915633,77.0787122
171616400,education,school,28.6930395,77.087125
